# Data collected manually from WEF Global Competitiveness Report,,,,,,,
Country,Corruption rank 2013,Corruption share 2013,Bureaucracy rank 2013,Bureaucracy share 2013,GCI2013rank,GCI2013,Sumconcerns
RU,1,19.1,4,19.8,64,4.2,38.9
SK,2,19.7,1,18.7,78,4.1,38.4
AL,1,25.5,3,12.7,95,3.28,38.2
IN,3,17.3,2,17.5,60,4.28,34.8
CR,3,10.9,1,19.9,57,4.13,30.8
CZ,1,17.2,2,12.6,46,4.43,29.8
GR,6,6.9,2,21.5,91,3.9,28.4
SER,1,13.8,2,13.1,101,3.77,26.9
LV,5,10.1,1,15.7,52,4.4,25.8
LT,6,8.5,1,17.2,48,4.41,25.7
SI,5,17.5,2,8,62,4.25,25.5
BG,1,13,3,11.5,57,4.31,24.5
RO,2,13.4,5,10.2,76,4.13,23.6
IT,7,6.5,3,17.1,49,4.41,23.6
HU,6,9.4,5,9.9,63,4.25,19.3
BW,8,4.1,2,12.9,74,4.13,17
PL,7,2.5,3,13.2,42,4.46,15.7
AT,7,2.5,4,13.2,16,5.15,15.7
SWI,14,0.6,2,14.8,1,5.67,15.4
ET,10,2.2,4,10.5,32,4.65,12.7
DE,11,1.7,4,10.4,4,4.51,12.1
DK,16,0,5,10.5,15,5.18,10.5
BH,9,3.8,7,6.4,87,4,10.2
FR,11,1.3,6,8.8,23,5.05,10.1
FI,15,0,5,7.5,3,5.54,7.5
SW,11,0.3,8,6.9,6,5.48,7.2
GE,13,0.8,8,5.3,72,4.2,6.1
